№,Секунда ,Микросекунда
1,40,880578
2,40,891080
3,40,901517
4,40,911983
5,40,922399
6,40,932720
7,40,943052
8,40,953587
9,40,963961
10,40,974406
11,40,984734
12,40,994823
13,41,5088
14,41,15204
15,41,25800
16,41,35948
17,41,46441
18,41,57230
19,41,67368
20,41,77653
21,41,88076
22,41,98214
23,41,108632
24,41,119154
25,41,129516
26,41,140160
27,41,150804
28,41,161691
29,41,172392
30,41,182759
31,41,193077
32,41,203443
33,41,213763
34,41,224053
35,41,234541
36,41,244823
37,41,255039
38,41,265489
39,41,275812
40,41,285985
41,41,296516
42,41,307050
43,41,317296
44,41,327585
45,41,337746
46,41,348215
47,41,358472
48,41,368927
49,41,379150
50,41,389591
51,41,399968
52,41,410673
53,41,421024
54,41,431831
55,41,442099
56,41,452416
57,41,462596
58,41,472920
59,41,483316
60,41,493856
61,41,504151
62,41,514705
63,41,524858
64,41,535368
65,41,545900
66,41,556435
67,41,566541
68,41,577282
69,41,587952
70,41,598306
71,41,609073
72,41,619439
73,41,629580
74,41,639899
75,41,650005
76,41,660166
77,41,671189
78,41,681985
79,41,692525
80,41,702998
81,41,713383
82,41,724053
83,41,734459
84,41,744994
85,41,755609
86,41,766017
87,41,776648
88,41,787311
89,41,797674
90,41,808474
91,41,818845
92,41,829068
93,41,839251
94,41,849605
95,41,859854
96,41,869927
97,41,880379
98,41,890729
99,41,901013
100,41,911276
101,41,921368
102,41,931868
103,41,942518
104,41,953302
105,41,963689
106,41,974282
107,41,984501
108,41,994938
109,42,5345
110,42,15452
111,42,25882
112,42,36405
113,42,46630
114,42,57053
115,42,67522
116,42,78099
117,42,88820
118,42,99307
119,42,109670
120,42,119998
121,42,130209
122,42,140533
123,42,150640
124,42,161020
125,42,171211
126,42,181903
127,42,192025
128,42,202464
129,42,212914
130,42,223418
131,42,233973
132,42,244627
133,42,255430
134,42,265723
135,42,276494
136,42,287032
137,42,297530
138,42,307679
139,42,318074
140,42,328384
141,42,338563
142,42,349095
143,42,359624
144,42,369985
145,42,380599
146,42,391138
147,42,401445
148,42,411631
149,42,421917
150,42,432096
151,42,442637
152,42,453005
153,42,463613
154,42,474014
155,42,484250
156,42,494723
157,42,505188
158,42,515523
159,42,525709
160,42,536274
161,42,546813
162,42,557149
163,42,567565
164,42,578128
165,42,588649
166,42,599297
167,42,609548
168,42,619706
169,42,630228
170,42,640706
171,42,651076
172,42,661468
173,42,672018
174,42,682362
175,42,693067
176,42,703623
177,42,713914
178,42,724562
179,42,735036
180,42,745576
181,42,756292
182,42,766763
183,42,776970
184,42,787480
185,42,797728
186,42,808311
187,42,818575
188,42,829117
189,42,839542
190,42,849870
191,42,860361
192,42,870831
193,42,881533
194,42,892090
195,42,902458
196,42,912966
197,42,923491
198,42,934073
199,42,944581
200,42,954871
201,42,965384
202,42,975576
203,42,986200
204,42,996604
205,43,7051
206,43,17428
207,43,27935
208,43,38468
209,43,48945
210,43,59495
211,43,69873
212,43,80246
213,43,90710
214,43,101253
215,43,111774
216,43,122349
217,43,132873
218,43,143309
219,43,153815
220,43,164125
221,43,174590
222,43,185112
223,43,195728
224,43,206130
225,43,216279
226,43,226847
227,43,237234
228,43,247389
229,43,257921
230,43,268401
231,43,278751
232,43,288935
233,43,299156
234,43,309624
235,43,320167
236,43,330666
237,43,341209
238,43,351795
239,43,362320
240,43,372665
241,43,383165
242,43,393693
243,43,404143
244,43,414518
245,43,424683
246,43,435019
247,43,445771
248,43,456230
249,43,466590
250,43,476755
251,43,487203
252,43,497604
253,43,508136
254,43,518424
255,43,528954
256,43,539517
257,43,549773
258,43,560215
259,43,570674
260,43,581059
261,43,591411
262,43,601896
263,43,613004
264,43,623454
265,43,634020
266,43,644358
267,43,654756
268,43,665066
269,43,675346
270,43,685874
271,43,696348
272,43,706893
273,43,717374
274,43,727788
275,43,738285
276,43,748645
277,43,759171
278,43,769675
279,43,780215
280,43,790962
281,43,801454
282,43,811656
283,43,822055
284,43,832539
285,43,843150
286,43,853270
287,43,863628
288,43,874204
289,43,884627
290,43,895265
291,43,905550
292,43,915741
293,43,926042
294,43,936674
295,43,947228
296,43,957703
297,43,968181
298,43,978585
299,43,988756
300,43,999199
